config,m,n,seed,algo,K_mult,cmax,lb,gap_pct,time_ms,assign_sha16
eval-m2-n30,2,30,3027,lpt_ls,,833,833,0.000000,0.040,5958053ead1c9279
eval-m2-n30,2,30,3027,rol,4,833,833,0.000000,0.074,5958053ead1c9279
eval-m2-n30,2,30,3028,lpt,,717,716,0.139665,0.015,4994882e9b7929cf
eval-m2-n30,2,30,3028,multifit,,716,716,0.000000,0.064,67a11bd71a4f7a28
eval-m2-n30,2,30,3028,lpt_ls,,716,716,0.000000,0.062,597ad5c70a185b0f
eval-m2-n30,2,30,3028,rol,4,717,716,0.139665,0.077,4994882e9b7929cf
eval-m2-n30,2,30,3029,lpt,,685,682,0.439883,0.018,d9f7fba7e53e2cea
eval-m2-n30,2,30,3029,multifit,,683,682,0.146628,0.050,1f2f26a11302abc9
eval-m2-n30,2,30,3029,lpt_ls,,682,682,0.000000,0.135,849e685079fe5c9d
eval-m2-n30,2,30,3029,rol,4,682,682,0.000000,0.088,faa460cf09da6b5c
eval-m2-n50,2,50,3000,lpt,,1166,1166,0.000000,0.025,cb070ba107842c69
eval-m2-n50,2,50,3000,multifit,,1166,1166,0.000000,0.088,fea24b01c3bcb174
eval-m2-n50,2,50,3000,lpt_ls,,1166,1166,0.000000,0.061,cb070ba107842c69
eval-m2-n50,2,50,3000,rol,4,1166,1166,0.000000,0.113,cb070ba107842c69
eval-m2-n50,2,50,3001,lpt,,1358,1357,0.073692,0.023,9ae5d164126a3077
eval-m2-n50,2,50,3001,multifit,,1357,1357,0.000000,0.089,28ec8cbaece62c16
eval-m2-n50,2,50,3001,lpt_ls,,1357,1357,0.000000,0.096,b6e8edd1120f8eb0
eval-m2-n50,2,50,3001,rol,4,1358,1357,0.073692,0.118,9ae5d164126a3077
eval-m2-n50,2,50,3002,lpt,,1127,1126,0.088810,0.022,4761ac2b800d408a
eval-m2-n50,2,50,3002,multifit,,1126,1126,0.000000,0.086,191effd787b676f5
eval-m2-n50,2,50,3002,lpt_ls,,1126,1126,0.000000,0.088,63152f05fe0610af
eval-m2-n50,2,50,3002,rol,4,1127,1126,0.088810,0.120,4761ac2b800d408a
eval-m2-n50,2,50,3003,lpt,,1201,1200,0.083333,0.022,2d72260a347ebe2a
eval-m2-n50,2,50,3003,multifit,,1201,1200,0.083333,0.086,dbb1d31e70bcf3a2
eval-m2-n50,2,50,3003,lpt_ls,,1200,1200,0.000000,0.086,d514aaec615983d0
eval-m2-n50,2,50,3003,rol,4,1201,1200,0.083333,0.109,2d72260a347ebe2a
